method,k,mean_parent_success_percent,sd_parent_success_percent,mean ± SD (%)
CReM,1,15.594052744886975,0.3646806833058843,15.59 ± 0.36
CReM,5,34.01506996770721,0.255558039958526,34.02 ± 0.26
CReM,10,38.437163616792255,0.2583494958562004,38.44 ± 0.26
CReM,20,40.80059203444564,0.17413306096047168,40.80 ± 0.17
CReM,50,42.39370290635092,0.056768092329732255,42.39 ± 0.06
CReM,100,42.59956942949408,0.0,42.60 ± 0.00
REINVENT4 Mol2Mol,1,17.146797631862217,0.37819501602486527,17.15 ± 0.38
REINVENT4 Mol2Mol,5,50.02354682454252,0.34547718182098497,50.02 ± 0.35
REINVENT4 Mol2Mol,10,65.02018299246501,0.3082261159634044,65.02 ± 0.31
REINVENT4 Mol2Mol,20,75.92639935414424,0.28590677185919816,75.93 ± 0.29
REINVENT4 Mol2Mol,50,84.21151776103338,0.17305170030469288,84.21 ± 0.17
REINVENT4 Mol2Mol,100,85.65662002152852,0.0,85.66 ± 0.00
Random local editing,1,13.79978471474704,0.3231461596800095,13.80 ± 0.32
Random local editing,5,40.001345532830996,0.33137165338407226,40.00 ± 0.33
Random local editing,10,52.39437567276642,0.3904968390039641,52.39 ± 0.39
Random local editing,20,64.08301937567276,0.2219657004159774,64.08 ± 0.22
Random local editing,50,70.11571582346609,0.0,70.12 ± 0.00
Random local editing,100,70.11571582346609,0.0,70.12 ± 0.00
scaffold-tuner,1,42.322389666307856,0.22482883287626923,42.32 ± 0.22
scaffold-tuner,5,47.54911194833154,0.051887787693745975,47.55 ± 0.05
scaffold-tuner,10,47.95949946178687,0.02969653030994284,47.96 ± 0.03
scaffold-tuner,20,48.07319698600646,0.005521950226507596,48.07 ± 0.01
scaffold-tuner,50,48.07588805166846,0.0,48.08 ± 0.00
scaffold-tuner,100,48.07588805166846,0.0,48.08 ± 0.00
