metric,method_1,method_2,wilcoxon_statistic,raw_p,holm_adjusted_p,significant_after_holm
Delta QED,scaffold-tuner,Random local editing,72693.0,9.562204532126891e-17,1.9124409064253781e-16,True
Delta QED,scaffold-tuner,CReM,38526.0,1.0919605083907752e-50,5.459802541953876e-50,True
Delta QED,scaffold-tuner,REINVENT4 Mol2Mol,38411.0,7.772174232408072e-51,4.6633045394448435e-50,True
Delta QED,Random local editing,CReM,66448.0,2.339982701737187e-21,7.01994810521156e-21,True
Delta QED,Random local editing,REINVENT4 Mol2Mol,53422.0,1.232696178844117e-33,4.930784715376468e-33,True
Delta QED,CReM,REINVENT4 Mol2Mol,87098.0,5.5659004140827655e-08,5.5659004140827655e-08,True
Delta SA Score,scaffold-tuner,Random local editing,18991.0,3.8332665199728727e-79,1.533306607989149e-78,True
Delta SA Score,scaffold-tuner,CReM,69350.0,7.200730790296719e-19,7.200730790296719e-19,True
Delta SA Score,scaffold-tuner,REINVENT4 Mol2Mol,41437.0,3.0531566283329864e-47,9.15946988499896e-47,True
Delta SA Score,Random local editing,CReM,0.0,1.1144051279206945e-112,6.686430767524167e-112,True
Delta SA Score,Random local editing,REINVENT4 Mol2Mol,3251.0,1.6367064815662843e-106,8.183532407831421e-106,True
Delta SA Score,CReM,REINVENT4 Mol2Mol,53888.0,3.730519115002154e-33,7.461038230004308e-33,True
