method,task,n_candidates_in_task_pool,parent_success_percent,selective_parent_success_percent,candidate_exact_success_percent,n_successful_candidates,zero_collateral_candidate_percent,median_collateral_change_score
scaffold-tuner,HBD increase,5245,69.7524219590958,1.1840688912809472,100.0,5245,0.6863679694947569,3.0
scaffold-tuner,HBD decrease,3765,48.977395048439185,0.4305705059203444,85.65737051792829,3225,0.46511627906976744,2.0
scaffold-tuner,HBA increase,5231,69.7524219590958,15.177610333692144,79.9464729497228,4182,3.873744619799139,2.0
scaffold-tuner,HBA decrease,5850,59.84930032292788,19.806243272335845,77.77777777777779,4550,6.571428571428571,1.0
scaffold-tuner,RotB increase,5242,15.177610333692144,15.177610333692144,2.918733307897749,153,96.07843137254902,0.0
scaffold-tuner,RotB decrease,3256,51.34553283100107,8.180839612486544,56.971744471744465,1855,11.212938005390836,2.0
scaffold-tuner,Aromatic rings increase,4196,69.7524219590958,0.32292787944025836,100.0,4196,0.07149666348903717,3.0
scaffold-tuner,Aromatic rings decrease,0,0.0,0.0,,0,,
Random local editing,HBD increase,28061,100.0,59.09580193756727,33.630305406079614,9437,9.219031471866058,1.0
Random local editing,HBD decrease,28061,73.30462863293864,43.59526372443487,9.358183956380742,2626,35.148514851485146,1.0
Random local editing,HBA increase,28061,100.0,94.94079655543595,42.60717722105413,11956,25.242556038808967,1.0
Random local editing,HBA decrease,28061,85.57588805166846,57.91173304628633,8.37104878657211,2349,37.84589186888038,1.0
Random local editing,RotB increase,28061,84.82238966630786,66.30785791173305,11.913331670289725,3343,45.07927011666168,1.0
Random local editing,RotB decrease,28061,53.283100107642625,22.38966630785791,2.7725312711592602,778,31.10539845758355,1.0
Random local editing,Aromatic rings increase,28061,1.0764262648008611,0.32292787944025836,0.03920031360250882,11,27.27272727272727,1.0
Random local editing,Aromatic rings decrease,28061,62.8632938643703,52.20667384284177,3.1930437261679914,896,74.44196428571429,0.0
CReM,HBD increase,23841,69.21420882669537,28.094725511302478,27.263957048781513,6500,12.753846153846155,2.0
CReM,HBD decrease,23841,43.70290635091496,28.202368137782564,16.815569816702318,4009,10.35170865552507,1.0
CReM,HBA increase,23841,74.16576964477933,53.067814854682446,38.87840275156243,9269,11.58701046499083,2.0
CReM,HBA decrease,23841,43.164693218514536,20.775026910656617,11.501195419655216,2742,19.037199124726477,1.0
CReM,RotB increase,23841,83.745963401507,79.76318622174381,47.33861834654587,11286,39.2876129718235,1.0
CReM,RotB decrease,23841,26.80301399354144,14.101184068891282,1.7742544356360892,423,38.53427895981088,1.0
CReM,Aromatic rings increase,23841,0.0,0.0,0.0,0,,
CReM,Aromatic rings decrease,23841,0.0,0.0,0.0,0,,
REINVENT4 Mol2Mol,HBD increase,61388,94.29494079655544,35.737351991388586,15.160943506874307,9307,8.122918233587622,2.0
REINVENT4 Mol2Mol,HBD decrease,61388,73.19698600645856,38.32077502691066,18.43194109597967,11315,7.803800265134776,2.0
REINVENT4 Mol2Mol,HBA increase,61388,97.84714747039828,60.279870828848225,21.556330227406008,13233,12.332804352754478,2.0
REINVENT4 Mol2Mol,HBA decrease,61388,88.69752421959096,50.05382131324004,20.305271388544995,12465,14.215804251905334,2.0
REINVENT4 Mol2Mol,RotB increase,61388,98.06243272335846,73.41227125941873,20.70925913859386,12713,18.681664437976874,1.0
REINVENT4 Mol2Mol,RotB decrease,61388,84.4994617868676,52.7448869752422,15.951000195477944,9792,19.975490196078432,1.0
REINVENT4 Mol2Mol,Aromatic rings increase,61388,94.72551130247578,37.13670613562971,17.128754805499447,10515,7.132667617689016,2.0
REINVENT4 Mol2Mol,Aromatic rings decrease,61388,53.92895586652314,19.3756727664155,8.65315696878869,5312,8.207831325301203,2.0
